parameter,2026-04-09 18:16:04 +0200,2026-04-09 22:34:32 +0200,2026-04-10 10:35:52 +0200,2026-04-10 17:23:06 +0200,2026-04-12 21:10:47 +0200,2026-04-13 18:31:02 +0200,2026-04-14 10:34:03 +0200,2026-04-17 15:06:07 +0200,2026-04-26 18:36:32 +0200,2026-04-27 19:23:04 +0200,2026-04-28 21:39:05,2026-05-01 17:43:24
wfo.run_wfo.min_hold_steps,,,,,5,5,5,15,5,5,5,15
wfo.run_wfo.pip_cost,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
wfo.run_wfo.position_cost,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
wfo.run_wfo.seed,42,42,42,42,42,42,42,42,42,42,42,42
wfo.run_wfo.test_months,1,1,1,1,1,1,1,1,1,1,1,1
wfo.run_wfo.total_timesteps,100000,100000,100000,100000,100000,100000,100000,2000000,500000,750000,500000,500000
wfo.run_wfo.trade_penalty,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.45
wfo.run_wfo.train_months,6,6,6,6,6,6,6,12,12,12,12,12
wfo.run_wfo.whipsaw_penalty,,,,,1.25,1.25,1.25,1.5,1.25,1.25,1.25,1.25
wfo.run_wfo.whipsaw_window,,,,,30,30,30,30,30,30,30,30
wfo.train_env.episode_length,,4096,4096,8192,20160,20160,20160,20160,20160,20160,20160,20160
wfo.train_env.reward_scaling,,1000.0,1000.0,1000.0,100.0,100.0,100.0,10.0,100.0,100.0,100.0,100.0
